estado;total_moradores;tipo_local;num_comodos;problemas_recentes;saude;peso;altura
Alagoas;1;Urbano;3;Não;Regular;058.0;164
Mato Grosso do Sul;3;Urbano;6;Não;Regular;071.0;159
Goiás;3;Urbano;7;Não;#N/D;;
Paraná;5;Rural;6;Não;#N/D;;
Ceará;2;Urbano;6;Não;Boa;072.0;
Distrito Federal;2;Urbano;5;Não;#N/D;;
Rio de Janeiro;2;Urbano;5;Sim;Ruim;090.0;175
Pará;4;Urbano;9;Não;#N/D;;
Pernambuco;2;Urbano;7;Não;Muito boa;079.0;172
Rio Grande do Norte;;Urbano;;;#N/D;;
Rio Grande do Sul;5;Urbano;6;Não;#N/D;;
Amazonas;5;Urbano;7;Não;#N/D;;
Piauí;12;Urbano;5;Não;#N/D;;
Santa Catarina;8;Urbano;4;Não;#N/D;;
Pará;10;Urbano;8;Não;#N/D;;
Pernambuco;4;Urbano;7;Não;#N/D;;
Pernambuco;3;Rural;4;Não;#N/D;;
Pernambuco;3;Urbano;8;Sim;Regular;064.0;148
Acre;5;Urbano;9;Não;#N/D;;
Pará;4;Urbano;7;Não;#N/D;;
Alagoas;5;Urbano;6;Não;#N/D;;
Pará;5;Urbano;6;Não;#N/D;;
Rondônia;3;Urbano;5;Não;#N/D;;
Pernambuco;2;Urbano;6;Não;#N/D;;
Maranhão;4;Rural;4;Não;#N/D;;
Sergipe;3;Urbano;10;Não;#N/D;;
Rondônia;9;Urbano;4;Não;#N/D;;
Rio de Janeiro;4;Urbano;6;Não;#N/D;;
Mato Grosso do Sul;2;Urbano;5;Não;#N/D;;
Distrito Federal;6;Urbano;8;Não;#N/D;;
Minas Gerais;3;Rural;6;Não;#N/D;;
Espírito Santo;3;Urbano;7;Não;#N/D;;
São Paulo;4;Urbano;7;Não;#N/D;;
Acre;3;Rural;4;Sim;#N/D;;
Rio de Janeiro;2;Urbano;5;Não;Boa;;168
Maranhão;3;Rural;8;Não;#N/D;;
Rio de Janeiro;4;Urbano;6;Não;#N/D;;
Pernambuco;5;Urbano;7;Sim;#N/D;;
Rio de Janeiro;4;Urbano;6;Não;#N/D;;
São Paulo;4;Urbano;6;Não;Boa;075.0;169
São Paulo;2;Rural;4;Não;#N/D;;
Mato Grosso;5;Urbano;6;Não;Boa;086.0;164
Santa Catarina;2;Urbano;7;Sim;#N/D;;
Paraíba;2;Urbano;5;Não;#N/D;;
Goiás;3;Urbano;6;Não;#N/D;;
Pernambuco;5;Rural;5;Não;#N/D;;
Rio Grande do Sul;2;Rural;7;Não;#N/D;;
Rio de Janeiro;3;Urbano;6;Não;#N/D;;
Rio de Janeiro;3;Urbano;6;Não;Boa;063.0;168
Rio Grande do Sul;3;Urbano;6;Não;#N/D;;
Santa Catarina;1;Urbano;5;Não;Boa;061.0;166
Mato Grosso do Sul;8;Urbano;6;Não;#N/D;;
Paraíba;;Rural;;;#N/D;;
Pará;2;Urbano;6;Não;#N/D;;
Rio Grande do Sul;4;Urbano;5;Não;#N/D;;
Ceará;3;Urbano;6;Não;#N/D;;
Espírito Santo;3;Urbano;5;Não;#N/D;;
Maranhão;4;Rural;6;Não;#N/D;;
Distrito Federal;6;Urbano;12;Não;#N/D;;
Maranhão;7;Urbano;7;Não;#N/D;;
Acre;6;Rural;5;Não;#N/D;;
Pará;2;Urbano;5;Não;#N/D;;
Pernambuco;1;Urbano;3;Sim;Regular;073.0;165
Roraima;4;Urbano;5;Não;#N/D;;
Rio Grande do Sul;2;Urbano;6;Não;#N/D;;
Rio Grande do Sul;9;Urbano;10;Não;#N/D;;
Ceará;2;Urbano;5;Não;#N/D;;
São Paulo;4;Urbano;5;Não;Boa;090.0;178
Rio de Janeiro;3;Urbano;6;Não;#N/D;;
São Paulo;4;Urbano;5;Não;#N/D;;
Tocantins;;Urbano;;;#N/D;;
Goiás;7;Urbano;7;Não;#N/D;;
Piauí;4;Rural;4;Não;Regular;081.0;159
Rio Grande do Norte;4;Urbano;5;Sim;#N/D;;
Pernambuco;4;Urbano;6;Não;#N/D;;
Pernambuco;3;Urbano;7;Sim;#N/D;;
Amapá;2;Urbano;5;Não;#N/D;;
Rio Grande do Sul;2;Urbano;5;Não;Boa;110.0;180
Goiás;4;Rural;7;Não;#N/D;;
Rio Grande do Norte;;Urbano;;;#N/D;;
Minas Gerais;2;Rural;4;Não;Boa;049.0;159
Maranhão;4;Urbano;9;Não;#N/D;;
Pernambuco;3;Urbano;5;Não;#N/D;;
Rio Grande do Norte;4;Urbano;5;Não;#N/D;;
Amazonas;6;Urbano;4;Não;Boa;063.0;156
Mato Grosso;3;Urbano;4;Sim;#N/D;;
Acre;5;Urbano;4;Não;#N/D;;
Pernambuco;6;Rural;5;Não;#N/D;;
Mato Grosso;3;Urbano;4;Não;Muito boa;072.0;180
Paraná;1;Urbano;3;Sim;Boa;086.0;172
Paraná;5;Urbano;4;Não;#N/D;;
Rio Grande do Sul;7;Urbano;5;Não;Muito boa;092.0;169
Sergipe;6;Urbano;8;Não;#N/D;;
Minas Gerais;4;Urbano;14;Não;Boa;056.0;165
Maranhão;4;Urbano;5;Não;Muito boa;049.0;
Distrito Federal;4;Urbano;18;Não;Boa;080.0;180
Paraná;3;Urbano;8;Não;Boa;092.0;175
