initial	final	price	month	year	block	apartment
3535	3565	464.10	7	2023	A	11
3375	3402	380.10	7	2023	A	12
3620	3651	492.10	7	2023	A	21
4681	4707	352.10	7	2023	A	22
2400	2425	324.10	7	2023	A	31
3931	3969	688.10	7	2023	A	32
4830	4862	520.10	7	2023	A	41
3525	3543	161.62	7	2023	A	42
1307	1307	71.70	7	2023	A	51
4022	4044	240.10	7	2023	A	52
4283	4328	884.10	7	2023	A	61
3451	3481	464.10	7	2023	A	62
2673	2692	172.86	7	2023	A	71
2799	2822	268.10	7	2023	A	72
2059	2079	184.10	7	2023	A	81
5404	5425	212.10	7	2023	A	82
2096	2118	240.10	7	2023	A	91
2367	2389	240.10	7	2023	A	92
2179	2190	82.94	7	2023	A	101
1787	1787	71.70	7	2023	A	102
2222	2230	71.70	7	2023	A	111
3799	3828	436.10	7	2023	A	112
1431	1431	71.70	7	2023	A	121
6045	6093	968.10	7	2023	A	122
1881	1907	352.10	7	2023	A	131
2725	2743	161.62	7	2023	A	132
3633	3659	352.10	7	2023	A	141
4480	4515	604.10	7	2023	A	142
3759	3802	828.10	7	2023	A	151
2268	2290	240.10	7	2023	A	152
6124	6168	856.10	7	2023	A	161
2909	2940	492.10	7	2023	A	162
3154	3189	604.10	7	2023	A	171
4525	4559	576.10	7	2023	A	172
4302	4342	744.10	7	2023	A	181
1704	1745	772.10	7	2023	A	182
2269	2281	94.18	7	2023	A	191
3958	3983	324.10	7	2023	A	192
3195	3223	408.10	7	2023	A	201
3956	3984	408.10	7	2023	A	202
3007	3037	464.10	7	2023	A	211
2202	2231	436.10	7	2023	A	212
3609	3633	296.10	7	2023	A	221
1282	1286	71.70	7	2023	A	222
3181	3195	116.66	7	2023	A	231
3004	3021	150.38	7	2023	A	232
4334	4365	492.10	7	2023	A	241
2588	2627	716.10	7	2023	A	242
2435	2417	800.10	7	2023	A	251
3192	3275	2042.48	7	2023	A	252
3881	3900	172.86	7	2023	A	261
282	286	71.70	7	2023	A	262
420	437	150.38	7	2023	A	271
1092	1125	548.10	7	2023	A	272
3364	3377	105.42	7	2023	B	11
1430	1438	71.70	7	2023	B	12
2010	2020	71.70	7	2023	B	21
1268	1288	184.10	7	2023	B	22
1978	1993	127.90	7	2023	B	31
1729	1740	82.94	7	2023	B	32
3779	3818	716.10	7	2023	B	41
2084	2096	94.18	7	2023	B	42
4774	4813	716.10	7	2023	B	51
2870	2893	268.10	7	2023	B	52
2607	2623	139.14	7	2023	B	61
2660	2683	268.10	7	2023	B	62
2723	2742	172.86	7	2023	B	71
2519	2519	71.70	7	2023	B	72
3778	3804	352.10	7	2023	B	81
2833	2851	161.62	7	2023	B	82
2337	2338	71.70	7	2023	B	91
1912	1925	105.42	7	2023	B	92
2393	2418	324.10	7	2023	B	101
3004	3023	172.86	7	2023	B	102
2928	2944	139.14	7	2023	B	111
4167	4182	127.90	7	2023	B	112
2741	2762	212.10	7	2023	B	121
3930	3967	660.10	7	2023	B	122
1244	1261	150.38	7	2023	B	131
4036	4055	172.86	7	2023	B	132
2320	2341	212.10	7	2023	B	141
2459	2468	71.70	7	2023	B	142
3109	3110	71.70	7	2023	B	151
4054	4069	127.90	7	2023	B	152
3409	3437	408.10	7	2023	B	161
3420	3438	161.62	7	2023	B	162
1801	1809	71.70	7	2023	B	171
2725	2750	324.10	7	2023	B	172
3629	3667	688.10	7	2023	B	181
3777	3800	268.10	7	2023	B	182
3350	3373	268.10	7	2023	B	191
2932	2952	184.10	7	2023	B	192
2632	2649	150.38	7	2023	B	201
9	26	150.38	7	2023	B	202
0	0	71.70	7	2023	B	211
1887	1887	71.70	7	2023	B	212
2634	2650	71.70	7	2023	B	221
3604	3635	150.38	7	2023	B	222
3795	3834	716.10	7	2023	C	11
2420	2437	150.38	7	2023	C	12
3017	3041	296.10	7	2023	C	21
2754	2771	150.38	7	2023	C	22
3923	3923	71.70	7	2023	C	31
3283	3312	436.10	7	2023	C	32
2956	2980	296.10	7	2023	C	41
2914	2952	688.10	7	2023	C	42
1635	1647	94.18	7	2023	C	51
2616	2640	296.10	7	2023	C	52
1728	1744	139.14	7	2023	C	61
2871	2892	212.10	7	2023	C	62
2875	2875	71.70	7	2023	C	71
2047	2071	296.10	7	2023	C	72
2839	2882	828.10	7	2023	C	81
3478	3499	212.10	7	2023	C	82
2104	2120	139.14	7	2023	C	91
3370	3393	268.10	7	2023	C	92
3365	3385	184.10	7	2023	C	101
2730	2742	94.18	7	2023	C	102
2241	2260	172.86	7	2023	C	111
1059	1068	71.70	7	2023	C	112
3930	3958	408.10	7	2023	C	121
1840	1852	94.18	7	2023	C	122
1732	1760	408.10	7	2023	C	131
3766	3786	184.10	7	2023	C	132
2605	2627	240.10	7	2023	C	141
3434	3452	161.62	7	2023	C	142
2592	2629	660.10	7	2023	C	151
1983	1999	139.14	7	2023	C	152
2649	2667	161.62	7	2023	C	161
5101	5134	548.10	7	2023	C	162
459	461	71.70	7	2023	C	171
3611	3641	464.10	7	2023	C	172
2610	2646	632.10	7	2023	C	181
4342	4373	492.10	7	2023	C	182
4511	4544	548.10	7	2023	C	191
536	536	71.70	7	2023	C	192
3714	3737	268.10	7	2023	C	201
2050	2064	116.66	7	2023	C	202
3183	3211	408.10	7	2023	C	211
3911	3933	240.10	7	2023	C	212
3479	3499	184.10	7	2023	C	221
3794	3817	268.10	7	2023	C	222
1371	1381	71.70	7	2023	D	11
2556	2578	240.10	7	2023	D	12
3031	3049	161.62	7	2023	D	13
2006	2022	139.14	7	2023	D	14
3126	3141	127.90	7	2023	D	21
1816	1827	82.94	7	2023	D	22
2039	2055	139.14	7	2023	D	23
3805	3842	660.10	7	2023	D	24
1937	1950	105.42	7	2023	D	31
2924	2952	408.10	7	2023	D	32
2280	2295	127.90	7	2023	D	33
2713	2724	82.94	7	2023	D	34
1433	1442	71.70	7	2023	D	41
3649	3668	172.86	7	2023	D	42
4961	4994	548.10	7	2023	D	43
1086	1094	71.70	7	2023	D	44
2479	2494	127.90	7	2023	D	51
2095	2116	212.10	7	2023	D	52
3386	3403	150.38	7	2023	D	53
3348	3375	380.10	7	2023	D	54
2763	2783	184.10	7	2023	D	61
2156	2173	150.38	7	2023	D	62
2476	2491	127.90	7	2023	D	63
1905	1931	352.10	7	2023	D	64
1646	1666	184.10	7	2023	D	71
1943	1957	116.66	7	2023	D	72
1216	1235	172.86	7	2023	D	73
2453	2473	184.10	7	2023	D	74
1383	1396	105.42	7	2023	D	81
4382	4414	520.10	7	2023	D	82
1978	1996	161.62	7	2023	D	83
3444	3471	380.10	7	2023	D	84
1985	1985	71.70	7	2023	D	91
3986	4009	268.10	7	2023	D	92
2176	2191	127.90	7	2023	D	93
1652	1673	212.10	7	2023	D	94
2125	2143	161.62	7	2023	D	101
2077	2087	71.70	7	2023	D	102
7211	7240	436.10	7	2023	D	103
2829	2846	150.38	7	2023	D	104
1626	1642	139.14	7	2023	D	111
2781	2807	352.10	7	2023	D	112
3163	3188	324.10	7	2023	D	113
1986	2038	1085.82	7	2023	D	114
2589	2601	94.18	7	2023	D	121
2194	2232	688.10	7	2023	D	122
1767	1792	324.10	7	2023	D	123
2759	2765	71.70	7	2023	D	124
3893	3923	464.10	7	2023	D	131
873	880	71.70	7	2023	D	132
2316	2316	71.70	7	2023	D	133
1690	1707	150.38	7	2023	D	134
2171	2187	139.14	7	2023	D	141
3325	3347	240.10	7	2023	D	142
2132	2151	172.86	7	2023	D	143
1950	1973	268.10	7	2023	D	144
2646	2670	296.10	7	2023	D	151
1946	1975	436.10	7	2023	D	152
1397	1412	127.90	7	2023	D	153
1838	1856	161.62	7	2023	D	154
1734	1756	240.10	7	2023	D	161
3671	3695	296.10	7	2023	D	162
2179	2194	127.90	7	2023	D	163
1915	1919	71.70	7	2023	D	164
1589	1600	82.94	7	2023	D	171
2637	2655	161.62	7	2023	D	172
1768	1768	71.70	7	2023	D	173
888	895	71.70	7	2023	D	174
2183	2203	184.10	7	2023	D	181
1810	1827	150.38	7	2023	D	182
2826	2842	139.14	7	2023	D	183
3839	3853	116.66	7	2023	D	184
4215	4236	212.10	7	2023	D	191
3614	3641	380.10	7	2023	D	192
3079	3104	324.10	7	2023	D	193
1288	1302	116.66	7	2023	D	194
2769	2783	116.66	7	2023	D	201
1513	1531	161.62	7	2023	D	202
1980	1996	139.14	7	2023	D	203
5117	5165	968.10	7	2023	D	204
3301	3337	632.10	7	2023	E	11
2406	2420	116.66	7	2023	E	12
1690	1700	71.70	7	2023	E	13
3220	3242	240.10	7	2023	E	14
2716	2731	127.90	7	2023	E	21
