apartamento,consumo
1,33
2,25
3,42
4,32
5,28
6,36
7,40
8,44
9,0
10,19
11,45
12,29
13,20
14,26
15,16
16,23
17,0
18,16
19,19
20,1
21,33
22,27
23,1
24,46
25,24
26,15
27,24
28,34
29,49
30,26
31,39
32,21
33,42
34,30
35,43
36,38
37,16
38,20
39,30
40,21
41,35
42,27
43,23
44,12
45,25
46,27
47,32
48,20
49,21
50,32
51,24
52,4
53,25
54,34
55,35
56,7
57,15
58,23
59,20
60,11
61,36
62,27
63,37
64,21
65,18
66,22
67,19
68,4
69,31
70,18
71,22
72,19
73,24
74,24
75,22
76,20
77,29
78,31
79,21
80,36
81,25
82,13
83,19
84,37
85,29
86,21
87,13
88,12
89,28
90,19
91,24
92,17
93,15
94,22
95,5
96,17
97,9
98,13
103,35
104,17
105,26
106,21
107,0
108,26
111,14
112,26
113,16
114,22
115,25
116,21
117,47
118,22
119,23
120,32
121,25
122,17
123,24
124,14
125,24
126,13
127,24
128,28
129,17
130,18
131,31
132,14
133,0
134,35
135,0
136,0
137,5
138,34
139,23
140,0
141,35
142,19
143,41
144,23
145,28
146,26
151,12
152,23
153,25
154,5
155,18
156,11
157,12
158,32
159,13
160,25
161,11
162,15
163,6
164,22
165,30
166,11
167,14
168,16
169,18
170,26
171,20
172,16
173,38
174,15
175,16
176,14
177,10
178,21
179,12
180,34
181,17
182,29
183,17
184,32
185,23
186,18
187,22
188,20
189,31
190,26
191,14
192,21
193,24
194,39
195,21
196,37
197,23
198,22
199,35
200,6
201,15
202,14
203,11
204,22
205,20
206,17
207,20
208,22
209,11
210,18
211,23
212,27
213,23
214,5
215,15
216,18
217,2
218,9
219,13
220,17
221,19
222,27
223,24
224,30
225,26
226,13
227,20
228,13
229,16
230,46
231,16
232,17
233,22
234,19
235,7
236,21
237,34
238,22
239,20
240,14
241,25
242,29
243,21
244,19
245,14
246,16
247,27
248,21
249,26
250,25
251,17
252,14
253,0
254,18
255,10
256,18
257,21
258,21
259,22
260,27
261,16
262,14
263,26
264,11
265,20
266,30
267,24
268,15
269,31
270,8
271,18
272,22
273,35
274,17
275,28
276,30
277,33
278,19
279,26
280,21
281,29
282,23
283,6
284,29
285,15
286,17
287,22
288,16
289,8
290,20
291,20
292,13
293,24
294,19
295,11
296,14
297,24
298,20
299,27
300,0
301,27
302,21
303,19
304,30
305,16
306,7
307,55
308,19
309,20
310,42
311,11
312,30
313,17
314,31
315,17
316,39
317,1
318,33
319,25
320,25
321,9
322,18
323,16
324,19
325,32
326,18
327,31
328,18
329,36
330,12
331,16
332,38
333,35
334,18
335,18
336,29
337,14
338,52
339,28
340,27
341,26
342,18
343,15
344,21
345,32
346,15
347,34
348,30
349,26
350,28
351,18
352,15
353,17
354,22
359,29
360,22
361,39
362,37
363,21
364,23
365,25
366,17
367,9
368,21
369,31
370,25
371,27
372,20
373,28
374,19
375,22
376,27
377,30
378,28
379,43
380,26
381,15
382,39
383,21
384,13
385,10
386,17
387,27
388,17
389,32
390,20
391,2
392,20
393,19
394,14
395,16
396,6
397,24
398,18
399,22
400,20
401,15
402,21
