,Unnamed: 0,Marca,Modelo,Cilindradas,Preço
0,,BMW,G 650 Xcountry Std.,53,37900
1,,BMW,R 1200 GS Advent.,100,88900
2,,Dafra,Laser 150 (Scooter),11,5490
3,,Yamaha,XT 660R,48,27273
4,,Dafra,Kansas 150 (custom),13,5490
5,,Honda,CB 600F Hornet,96,31980
6,,Kasinski,Comet 650 (esport),80,27900
7,,Honda,CG Titan KS Mix,14,6151
8,,Suzuki,GSX 1300 Hayabusa,200,61200
9,,Suzuki,Bandit,98,39033
10,,Yamaha,Fazer 250,21,10477
11,,Honda,CG 125 Fan ES,12,5422
12,,Yamaha,XTZ 250X,21,13266
13,,Yamaha,XTZ 1250K,11,7589
14,,Honda,NXR 150 Bros KS,14,7361
